multiplier,t_final,n_steps,final_l2,mean_l2,max_l2,space_time_l2,final_l2_growth_vs_x1,space_time_l2_growth_vs_x1
1.0,10.0,100,0.006289029284823612,0.018824359340186655,0.044953532169134315,0.015958560531120266,1.0,1.0
2.0,20.0,200,0.009519790127554783,0.013694355598662784,0.044953532169134315,0.01062433702989764,1.5137137539695498,0.6657453226548514
5.0,50.0,500,0.006087220371716223,0.010579586186916321,0.044953532169134315,0.008374877364086606,0.9679109598687375,0.5247890214004598
10.0,100.0,1000,0.047917173227438985,0.019477414955089083,0.047917173227438985,0.03222742818482245,7.619168405380213,2.0194445559157295
