coil_inner_diameter,y_offset,height,diameter,l2_error
0.05042437961993058,-0.030419913048764215,0.13726327963610363,0.031216030240869743,0.047676490621788
0.05982509838192307,-0.0023873466226929166,0.06744501467010755,0.017897478840744704,0.01655324548478832
0.06850084181994776,-0.022819239908642364,0.10919483310464038,0.04823177655989849,0.034492707696620696
0.06984126900951879,0.026406666198357152,0.048332948477503926,0.01668237130932278,0.03836508081646717
0.046932085754653935,0.012589592182189108,0.055687649347249735,0.021292839095197247,0.014341473010305306
0.04703283593568937,0.025452187406094597,0.1483676546456494,0.019556102908984612,0.06949889190082847
0.064044729269375,0.007132006549847789,0.0571476662558319,0.02351136295825334,0.018122700511020433
0.04580276407012898,-0.020893279844812113,0.07942873576202392,0.04347423792985822,0.07035027444142931
0.0648052737202462,0.029987770722332496,0.1260169861256138,0.044764148561941934,0.04075483558162154
0.04997328864881871,0.008344284568634362,0.06102247335234755,0.04451222968429196,0.09249503592630634
0.055659869332751855,-0.027892503962296374,0.06407583014417442,0.03709469621561068,0.029869975452734624
0.04201975752554773,0.001823668362709134,0.11303583809662161,0.03380271621542171,0.014974307865249246
0.04854362939825572,-0.013678931397939999,0.11150578694555173,0.015557571347969864,0.039906171916832434
0.04963691531186056,-0.027185204534499026,0.04753338134592691,0.028535480707412506,0.021691101644161347
0.06773944539842351,0.01875455925772062,0.10754921868360993,0.05619652519323013,0.1196457384001734
0.04618443189439591,0.0077257041759170725,0.06969681454602844,0.043723425449954334,0.07654780488772528
0.061141038238779755,-0.026706589140271228,0.059830263790056515,0.04315870115236928,0.026561217112218084
0.044075966464364645,0.02279237902354502,0.07802667248339,0.035522458883422134,0.010714339079874973
0.06089730680029858,0.0006398943968525667,0.10647178800919738,0.022876832672134705,0.016163503278739905
0.06030644381588978,-0.016637199049066208,0.04588691147693234,0.04627562213770424,0.06150556764914036
0.053698427969604064,-0.002882246276938949,0.12168214870642191,0.0517331575789094,0.21064247750543538
0.058395499294311676,0.013110594247594518,0.0815656568081134,0.05061030969026381,0.10570662968636844
0.05847103418933748,0.0027897957450419425,0.1042610399986339,0.04991934175237408,0.0968212959232905
0.044973588762346486,-0.024252734914510653,0.08447227561566562,0.01998187349585018,0.015438924518533252
0.06597226756898644,-0.03357552382039118,0.13599339619117795,0.02949896738231017,0.035615230294710296
0.05949343343723723,0.0316043310996693,0.128177280967611,0.03317530222387324,0.034401141433055726
0.047949827621002875,0.02776223300226141,0.11697237823992052,0.01754087525334486,0.05620230575167528
0.0639618736687827,0.009693494420894455,0.07742860991210031,0.05861676005133956,0.21911956316127063
0.042877707746148366,0.03262908133548298,0.05748005943325587,0.040204557677456926,0.13658230152815087
0.052929555535199214,0.010804427172269017,0.14174723492599578,0.04938528985722369,0.12603367949333313
0.05537809209899561,0.013711891530637899,0.039633265382269064,0.03535384823453973,0.03090299961800346
0.05680372368790419,0.024833348761688467,0.1467214899830789,0.056685264364809584,0.3072323747390156
0.06753494125572646,0.033453426963768323,0.06905942678428667,0.036014639983520946,0.02264280620509791
0.0544134172408583,0.021152078843739965,0.062084326673177405,0.05211574115392969,0.2361367397245993
0.049476412807510424,0.02322117071428053,0.14515684994437072,0.027030644715393185,0.05421276779359875
0.04022675605938647,-0.0016272941476843591,0.06454979057906028,0.022073214911712234,0.008919844857839998
0.059097671922308234,-0.007909241987277375,0.12432585062704565,0.05670507584522369,0.2417742291222878
0.06191209829623748,-0.031276279226862824,0.08581246347020155,0.026231492785614645,0.022161350674363818
0.06464407968130084,0.0036828738486565996,0.13850830312893275,0.02832027093764148,0.040361653123842864
0.04079601971939693,-0.02514976253078909,0.11342939860075023,0.022275230869964434,0.019425636854540115
0.059246176712582393,-0.028086389037249165,0.06175959410172111,0.020426320523016378,0.011268039421029547
0.066015772455312,-0.004638756134961054,0.10585743470481224,0.047957508065985206,0.03829642857622516
0.04631915611413272,-0.014351569528948668,0.043833066780881315,0.02253765483021725,0.017190740140853675
0.04333870801562134,-0.029237083797440576,0.11741684213243793,0.02143374913958261,0.044397033312932044
0.050155635688101705,0.016276365830664587,0.039210167860461345,0.018800330508042876,0.024939260644272876
0.06693061141851249,0.024119269481309463,0.06626101589835215,0.01840182458560421,0.031139084549987952
0.04349994907241354,0.0029428271831500943,0.11474198538803498,0.03768888336437798,0.04540873614094101
0.05598844750942082,-0.018176524216428513,0.09705397526359548,0.04534702394020751,0.05227644780612573
0.054722208466538594,0.019932606890664777,0.07300840587352987,0.020981231873435414,0.008789152990301675
0.06242575351370155,0.02714565435972357,0.14568944835231717,0.040754414693434056,0.03542435467278112
0.062356475579139016,0.028699735472258514,0.046748419083116693,0.04752331681886172,0.05524055891241012
0.05140565009975018,-0.0009646278008816067,0.04185045116299867,0.017276407705445543,0.02250301460922645
0.06370085710004446,-0.018327768160144742,0.14979828799666667,0.04678374607203671,0.06420113318330753
0.059785053868047694,0.02700483255079484,0.05108652878192321,0.01919622333957529,0.02289912925186527
0.05769526190794455,-0.019597865072348963,0.1051792320465588,0.03411255292506381,0.021274206804542454
0.05784370003379356,-0.009348560797851197,0.10792836170073997,0.03589943499769013,0.01500382865493203
0.05729489388845416,-0.021965861657987182,0.07009873440460349,0.015163466348835843,0.023002834326098665
0.06353350537251413,-0.025217928970877046,0.09835054541430582,0.03191394563369316,0.017485085317505197
0.06817790176495431,0.032866690534678805,0.030644609638561485,0.05391719671559516,0.2644609258961659
0.06631846635594882,-0.0067172814558688,0.036567082769894114,0.038808016899846066,0.06662895193275006
