N_train,data_only_interp,pi_gnn_interp,data_only_extrap,pi_gnn_extrap
2,1.963e-01,2.420e-01,3.564e-01,3.454e-01
4,1.600e-01,7.893e-02,1.990e-01,1.461e-01
8,5.620e-02,5.722e-02,9.347e-02,9.537e-02
16,5.415e-03,7.326e-03,3.969e-02,3.466e-02
