case,label,multiplier,t_final,n_steps,final_l2,mean_l2,max_l2,space_time_l2,final_l2_growth_vs_x1,space_time_l2_growth_vs_x1
ih,Aluminium,1.0,10.0,100,0.006289029284823612,0.018824359340186655,0.044953532169134315,0.015958560531120266,1.0,1.0
ih,Aluminium,2.0,20.0,200,0.009519790127554783,0.013694355598662784,0.044953532169134315,0.01062433702989764,1.5137137539695498,0.6657453226548514
ih,Aluminium,5.0,50.0,500,0.006087220371716223,0.010579586186916321,0.044953532169134315,0.008374877364086606,0.9679109598687375,0.5247890214004598
ih,Aluminium,10.0,100.0,1000,0.047917173227438985,0.019477414955089083,0.047917173227438985,0.03222742818482245,7.619168405380213,2.0194445559157295
team36,TEAM 36,1.0,25.0,250,0.038792079044349885,0.09057941089321184,0.28144357896407657,0.0660226270653258,1.0,1.0
team36,TEAM 36,2.0,50.0,500,0.089276830467354,0.07020332135369811,0.28144357896407657,0.05986456003484139,2.301419069735508,0.9067279309502281
team36,TEAM 36,5.0,125.0,1250,0.560213518890423,0.2020305954597442,0.560213518890423,0.32646599275532956,14.441440951126822,4.9447592025126355
team36,TEAM 36,10.0,250.0,2500,1.8986746039735634,0.7036206225308668,1.8986746039735634,1.0683102663555475,48.94490449462279,16.18097179469264
